呵,o1
呵,ho1
呵,ho2
咍,haai1
咍,hoi1
呶,naau4
呶,nou4
呼,fu1
呫,zim1
呫,cip3
呫,tip3
咋,zaa1
咋,zaa3
咋,zaa6
咋,zaak3
咋,zaak6
咀,zeoi2
咀,zo3
呾,taan2
呾,daat3
咂,zaap3
咒,zau3
周,zau1
咄,deot1
咄,cyut3
咄,zyut3
咑,daa1
咑,daak1
咇,bit1
和,wo4
和,wo6
和,wu4
咈,fat6
呯,ping4
咘,bou3
咚,dung1
呡,man5
哉,zoi1
哄,hung1
哄,hung3
哄,hung6
咺,hyun1
咺,hyun2
哆,ce2
哆,ci2
哆,do1
哆,do2
咸,haam4
咬,aau1
咬,gaau1
咬,ngaau1
咬,ngaau5
咪,mai1
咪,mai5
咪,mai6
咪,mei1
咪,miu1
咢,ngok6
咠,cap1
咮,zau3
哅,hung1
咾,lou5
哃,tung4
咯,kat1
咯,lo1
咯,lo3
咯,gok3
咯,lok3
咯,lok6
咰,seon1
咰,seot6
呰,zi2
哂,saai3
哂,can2
咫,zi2
咩,me1
咨,zi1
哞,mau4
咻,jau1
咻,heoi2
咳,haai1
咳,kat1
咳,hei1
咳,hoi4
咳,koi3
哈,haa1
哈,haa5
哈,kaa1
哈,haai1
咦,ji2
咦,ji4
咭,kaat1
咭,gat1
咭,hat1
咭,kat1
咼,kwaa1
咼,waa1
咼,gwo1
咼,wo4
咥,hei3
咥,dit6
哏,gan1
哏,han2
咶,saai5
哇,waa1
咡,ji6
咷,tou4
咽,jin1
咽,jin3
咽,jit3
哎,aai1
哎,ngaai1
哎,ngaai6
哎,ai3
哖,nin4
呲,ci1
呲,zi1
咱,zaa1
品,ban2
咧,le1
咧,le2
咧,le4
咧,lit6
哀,oi1
哀,ngoi1
咿,ji1
哠,hou6
哢,lung6
唉,aai1
唉,ngaai1
唉,oi1
唉,ngoi1
唊,gaap3
唊,him2
唁,jin6
哻,hon4
員,wan4
員,wan6
員,jyun4
哷,lyut3
哭,huk1
唈,jap1
唷,jo1
唎,lei6
唎,li1
哺,bou1
哺,bou6
哽,ang2
哽,gang2
哽,ngang2
哩,le1
哩,lei5
哸,seoi1
唄,baa6
唄,baai6
唄,bui6
唒,cau4
哱,po3
哱,but6
唚,cam3
唔,m4
唔,ng4
哮,haau1
唦,saa1
哦,o2
哦,o4
哦,ngo4
唐,tong4
唃,guk1
唇,seon4
哳,zaat3
哿,go1
哿,go2
哿,ho2
哥,go1
唗,dau1
哨,saau3
唧,zek1
唧,zik1
唋,tou1
唅,ham3
唅,ham4
唅,ham6
哫,zuk1
哧,ci1
唏,hei1
唑,zo6
唆,so1
哲,zit3
哪,naa1
哪,naa4
哪,naa5
哪,no4
哤,mong4
哼,hang1
哼,hng6
唹,jyu1
商,soeng1
啦,laa1
啕,tou4
啒,fat1
啒,gwat1
售,sau6
啍,tan1
啍,teon1
啍,zeon1
啟,kai2
啊,aa1
啊,aa2
啊,aa3
啊,aa4
啊,haa2
啊,haa4
唯,wai2
唯,wai4
唯,wai5
啜,cyut3
啜,zyut3
啢,loeng2
啢,loeng5
啎,ng5
啎,ng6
啀,ngaai4
唳,lai6
唳,leoi6
唳,lit6
唸,nim6
唸,din6
啪,paa1
啪,paak1
啁,zaau1
啁,zau1
唼,zaap3
唼,cip3
唼,zit6
唶,zaak3
唶,ze3
唶,zik1
唻,loi6
啥,saa1
啥,saa2
問,man6
啃,han2
啃,hang2
啃,hang3
啃,kang2
啖,daam6
啗,daam6
唬,haak3
唬,fu2
啶,ding6
唲,waa1
唲,aai1
唲,ngaai1
唲,ji4
啣,haam4
啣,ham4
啑,saap3
啑,zaap3
啑,dip6
啑,zit6
啄,doek3
啅,doek3
啡,fe1
啡,fei1
唪,baang6
唪,fung2
唪,fung6
唭,gei1
唴,goeng6
啈,hang1
唌,jin4
啋,coi1
唰,caat3
唰,syut3
啵,bo1
啐,ceoi3
啐,seoi6
啤,be1
啤,pei4
唵,am2
唵,ngam2
唱,coeng3
啞,aa1
啞,aa2
啞,ngaa2
啞,ak1
啞,ngak1
喕,min5
喋,zaap6
喋,dip6
喀,kaa1
喀,kaa3
喀,haak1
喀,haak3
啿,daam6
啿,taam5
喢,saap3
喢,sip3
喈,gaai1
喣,heoi2
喣,jyu3
喊,haam3
喜,hei2
喜,ci3
喵,miu1
喉,hau4
喃,naam4
啽,ngaam4
啽,am2
啽,ngam4
喥,zaa3
喥,dok6
喎,kwaa1
喎,waa1
喎,wo3
喎,wo5
喦,ngap6
喦,jip6
喦,nip6
嗖,sau1
善,sin6
喌,zau1
喌,zuk1
喡,wai4
喡,wai6
啾,zau1
單,daan1
單,sim4
單,sin4
單,sin6
喚,wun6
喤,waang4
喤,wong4
啻,ci3
喂,wai2
喂,wai3
喂,wai6
喟,faai3
喟,wai2
喟,wai3
喟,wai6
喳,caa1
喳,zaa1
唾,to3
唾,toe3
唾,toe5
唾,tou3
啼,tai4
喒,zaa1
喪,song1
喪,song3
喙,fui3
喔,ak1
喔,ngak1
喔,o1
喔,ok1
喘,cyun2
喝,jit3
喝,hot3
喨,loeng6
啷,long1
啷,long4
喁,jung4
喁,jyu4
喭,jin6
喭,ngon6
喓,jiu1
喲,jo1
喻,jyu6
喬,kiu4
喧,hyun1
喑,jam1
喑,ngam6
喱,lei1
喏,je5
喏,nok6
喇,laa1
喇,laa3
喫,jaak3
喫,hat1
喫,hek3
嗣,zi6
嗝,gaak3
嗢,wat1
嗤,ci1
嗊,gung3
嗊,hung2
嗙,paang1
嗙,pong3
嗈,jung1
嗕,juk6
嗀,fo3
嗀,hok3
嗅,cau3
嗅,hung3
嗆,coeng1
嗆,coeng3
嗒,daap1
嗒,daap3
嗒,taap3
嗒,daat6
嗉,sou3
嗓,song1
嗓,song2
嗍,sok3
嗲,de2
嗩,so2
嗦,so1
嗦,sok3
嗟,ze1
嗥,hou4
嘟,dou1
嗇,sik1
嗚,wu1
嗜,si3
喿,cou3
嗔,can1
嗔,zan1
嗑,gaap3
嗑,haap3
嗑,hap6
嗑,ngap1
嗋,hip3
嗋,hip6
嗎,maa1
嗎,maa3
嗎,maa4
嗎,maa5
嗯,ng2
嗯,ng6
嗃,haau1
嗃,haau3
嗃,hok3
嗃,hok6
嗏,caa1
嗐,haai6
嗐,hoi6
嗌,aai3
嗌,ngaai3
嗌,jik1
嗡,jung1
嗨,haai1
嗨,hei1
嗨,hoi1
嗄,aa2
