吁,heui1
吁,yu6
名,meng2
名,meng4
名,ming4
吏,lei6
合,gap3
合,hap6
吐,dat6
吐,tou2
吐,tou3
吆,yiu1
吉,gat1
吊,diu3
吃,yaak3
吃,gat1
吃,hat1
吃,hek3
向,heung3
吪,fa4
吪,ngo4
含,ham4
吼,haau1
吼,hau2
吼,hau3
吳,ng4
吾,nga4
吾,ng4
吾,yu4
吱,gei1
吱,ji1
呆,daai1
呆,ngoi4
君,gwan1
吙,fo2
呔,taai1
呔,toi2
吞,tan1
吩,fan1
吠,fai6
呏,sing1
吨,deun1
否,fau2
否,pei2
否,pei5
吰,wang4
告,gou3
告,guk1
吮,seun5
吮,chyun5
吮,syun5
呀,a1
呀,ha1
吟,yam4
吟,ngam4
吤,gaai3
吤,haai6
吤,go3
吥,bat1
呁,gan3
呂,leui5
吶,naap6
吶,nat6
吶,neut6
呅,man5
呅,mui4
吵,chaau2
吜,chau2
吷,hyut3
吷,kyut3
吝,leun6
吭,hang1
吭,hong4
听,yan5
听,teng1
听,ting1
听,ting3
吽,hau1
吽,hau2
吽,ngau6
吽,hung1
呈,ching4
呇,hei2
吸,kap1
吧,ba1
吧,ba6
呃,ak1
呃,ngak1
吹,cheui1
吹,cheui3
呎,chek3
吘,ngau5
吻,man5
呥,yam1
呥,yim4
咁,gam2
咁,gam3
咖,ga3
咖,ka1
呬,hei3
呻,san1
呧,dai2
呿,heui3
呿,keui1
咐,fu3
咐,fu6
呦,yau1
呤,ling4
呤,ling5
呢,ne1
呢,nei1
呢,nei4
呢,ni1
命,meng6
命,ming6
味,mei6
呴,hau3
呴,heui1
呴,yu3
呷,haap3
呣,m2
呣,m4
呣,m6
呱,gwa1
呱,gwa2
呱,wa1
呱,gu1
咕,gu1
呺,hiu1
呺,hou4
咆,paau3
咆,paau4
呠,pan3
呸,pei1
咎,gau3
咎,gou1
呵,o1
呵,ho1
呵,ho2
咍,haai1
咍,hoi1
呶,naau4
呶,nou4
呼,fu1
呫,jim1
呫,chip3
呫,tip3
咋,ja1
咋,ja3
咋,ja6
咋,jaak3
咋,jaak6
咀,jeui2
咀,jo3
呾,taan2
呾,daat3
咂,jaap3
咒,jau3
周,jau1
咄,deut1
咄,chyut3
咄,jyut3
咑,da1
咑,daak1
咇,bit1
和,wo4
和,wo6
和,wu4
咈,fat6
呯,ping4
咘,bou3
咚,dung1
呡,man5
哉,joi1
哄,hung1
哄,hung3
哄,hung6
咺,hyun1
咺,hyun2
哆,che2
哆,chi2
哆,do1
哆,do2
咸,haam4
咬,aau1
咬,gaau1
咬,ngaau1
咬,ngaau5
咪,mai1
咪,mai5
咪,mai6
咪,mei1
咪,miu1
咢,ngok6
咠,chap1
咮,jau3
哅,hung1
咾,lou5
哃,tung4
咯,kat1
咯,lo1
咯,lo3
咯,gok3
咯,lok3
咯,lok6
咰,seun1
咰,seut6
呰,ji2
哂,saai3
哂,chan2
咫,ji2
咩,me1
咨,ji1
哞,mau4
咻,yau1
咻,heui2
咳,haai1
咳,kat1
咳,hei1
咳,hoi4
咳,koi3
哈,ha1
哈,ha5
哈,ka1
哈,haai1
咦,yi2
咦,yi4
咭,kaat1
咭,gat1
咭,hat1
咭,kat1
咼,kwa1
咼,wa1
咼,gwo1
咼,wo4
咥,hei3
咥,dit6
哏,gan1
哏,han2
咶,saai5
哇,wa1
咡,yi6
咷,tou4
咽,yin1
咽,yin3
咽,yit3
哎,aai1
哎,ngaai1
哎,ngaai6
哎,ai3
哖,nin4
呲,chi1
呲,ji1
咱,ja1
品,ban2
咧,le1
咧,le2
咧,le4
咧,lit6
哀,oi1
哀,ngoi1
咿,yi1
哠,hou6
哢,lung6
唉,aai1
唉,ngaai1
唉,oi1
唉,ngoi1
唊,gaap3
唊,him2
唁,yin6
哻,hon4
員,wan4
員,wan6
員,yun4
哷,lyut3
哭,huk1
唈,yap1
唷,yo1
唎,lei6
唎,li1
哺,bou1
哺,bou6
哽,ang2
哽,gang2
哽,ngang2
哩,le1
哩,lei5
哸,seui1
唄,ba6
唄,baai6
唄,bui6
唒,chau4
哱,po3
哱,but6
唚,cham3
唔,m4
唔,ng4
哮,haau1
唦,sa1
哦,o2
哦,o4
哦,ngo4
唐,tong4
唃,guk1
唇,seun4
哳,jaat3
哿,go1
哿,go2
哿,ho2
哥,go1
唗,dau1
哨,saau3
唧,jek1
唧,jik1
唋,tou1
唅,ham3
唅,ham4
唅,ham6
哫,juk1
哧,chi1
唏,hei1
唑,jo6
唆,so1
哲,jit3
哪,na1
哪,na4
哪,na5
哪,no4
哤,mong4
哼,hang1
哼,hng6
唹,yu1
商,seung1
啦,la1
啕,tou4
啒,fat1
啒,gwat1
售,sau6
啍,tan1
啍,teun1
啍,jeun1
啟,kai2
啊,a1
啊,a2
啊,a3
啊,a4
啊,ha2
啊,ha4
唯,wai2
唯,wai4
唯,wai5
啜,chyut3
啜,jyut3
啢,leung2
啢,leung5
啎,ng5
啎,ng6
啀,ngaai4
唳,lai6
唳,leui6
唳,lit6
唸,nim6
唸,din6
啪,pa1
啪,paak1
啁,jaau1
啁,jau1
唼,jaap3
唼,chip3
唼,jit6
唶,jaak3
唶,je3
唶,jik1
唻,loi6
啥,sa1
啥,sa2
問,man6
啃,han2
啃,hang2
啃,hang3
啃,kang2
啖,daam6
啗,daam6
唬,haak3
唬,fu2
啶,ding6
唲,wa1
唲,aai1
唲,ngaai1
唲,yi4
啣,haam4
啣,ham4
啑,saap3
啑,jaap3
啑,dip6
啑,jit6
啄,deuk3
啅,deuk3
啡,fe1
啡,fei1
唪,baang6
唪,fung2
唪,fung6
唭,gei1
